,2692
20220812,0.0
20220817,-77.93984270095825
20220820,-77.93984270095825
20220822,-77.93984270095825
20220825,-77.93984270095825
20220830,-71.0482169787089
20220831,-64.15659125645956
20220901,-57.264965534210205
20220902,-66.20021867752075
20220903,24.229125499725342
20220907,-72.90332841873169
20220909,-24.7823166847229
20220910,36.69942808151245
20220913,42.33149366378784
20220918,47.963559246063234
20220919,53.59562482833862
20220920,59.22769041061402
20220921,64.8597559928894
20220925,66.61455488204956
20220927,18.00059938430786
20220929,-30.613356113433838
20221001,-119.82594347000122
20221002,-119.82594347000122
20221003,-119.82594347000122
